source	reference	translation
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
Train journeys offer scenic views.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
Handicrafts showcase artistic traditions.	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
Learning a new language requires practice.	نوی زبان سکھن کیتے مشق دی لوڑ اے۔	نوی زبان سکھن کیتے مشق دی لوڑ اے۔
She cooked delicious biryani for the family.	اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
People celebrate festivals with great joy.	لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
Handicrafts showcase artistic traditions.	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
Regular exercise helps maintain good health.	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
Students gathered in the library.	طالب علم لائبریری وچ گڈے تھئے۔	طالب علم لائبریری وچ گڈے تھئے۔
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
Education opens doors to opportunities.	تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
Cooking together brings family members closer.	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
People travel long distances to visit religious sites.	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔	لوک مذہبی تھانواں دیکھن کیتے لمبیاں دوریاں طے کریندے نیں۔
She cooked delicious biryani for the family.	اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
The teacher explained the lesson patiently.	استاد صبر نال سبق سمجھایا۔	استاد صبر نال سبق سمجھایا۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
Train journeys offer scenic views.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
The professor wrote equations on the blackboard.	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
After finishing his work, he sat down.	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔	اپنا کم مکمل کرن دے بعد، او بیٹھ گیا۔
The wedding ceremony lasted three days.	شادی دی تقریب ترئے دینہہ چلی۔	شادی دی تقریب ترئے دینہہ چلی۔
Traditional music is important for our heritage.	روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
Train journeys offer scenic views.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
Regular exercise helps maintain good health.	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔	منظم ورزش چنگی صحت برقرار رکھن وچ مدد کریندی اے۔
Traditional music is important for our heritage.	روایتی موسیقی سادی ورثے کیتے اہم اے۔	روایتی موسیقی سادی ورثے کیتے اہم اے۔
Handicrafts showcase artistic traditions.	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔	ہتھکاریاں فنکارانہ روایات دکھیندیاں نیں۔
People celebrate festivals with great joy.	لوک ودی خوشی نال میلے منیندے نیں۔	لوک ودی خوشی نال میلے منیندے نیں۔
The forest is home to many wild animals.	جنگل گھنے جنگلی جانوراں دا گھر اے۔	جنگل گھنے جنگلی جانوراں دا گھر اے۔
Agriculture remains the primary source of income.	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔	زراعت آمدنی دا بنیادی ذریعہ رہندی اے۔
Farmers wake up early to tend to crops.	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
Spices add flavor to traditional dishes.	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔	مصالحے روایتی کھاناں وچ ذائقہ ودیندے نیں۔
My grandmother told me stories.	میری دادی نے مینوں کہانیاں سنایاں۔	میری دادی نے مینوں کہانیاں سنایاں۔
She received a scholarship to study medicine.	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
Children learn best when they are interested.	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔	بچے بہترین سکھدے نیں جدوں اوہ دلچسپی رکھدے نیں۔
The internet connects people across continents.	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔	انٹرنیٹ براعظماں وچ لوکاں کوں جوڑیندے۔
Parents sacrifice their own needs for children.	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔	والدین بچیاں کیتے اپنیاں ضرورتاں قربان کریندے نیں۔
Online shopping has become popular.	آن لائن خریداری مقبول تھی گئی اے۔	آن لائن خریداری مقبول تھی گئی اے۔
She received a scholarship to study medicine.	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔	اوں طب دی تعلیم کیتے اسکالرشپ حاصل کیتی۔
I woke up early this morning.	میں اج صبح جلدی اٹھیا۔	میں اج صبح جلدی اٹھیا۔
Children were playing cricket in the street.	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔	بچے سڑک تے کرکٹ کھیڈدے پئے ہن۔
Pollution in cities has become a serious problem.	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔	شہراں وچ آلودگی ہک سنجیدہ مسئلہ بن گئی اے۔
Sports teach teamwork and discipline.	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔	کھیڈاں ٹیم ورک تے نظم و ضبط سکھیندیاں نیں۔
The market was crowded with people.	بازار لوکاں نال بھریا ہویا سی۔	بازار لوکاں نال بھریا ہویا سی۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
Reading books improves vocabulary.	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔	کتاباں پڑھن ذخیرہ الفاظ بہتر بنیندے۔
Cooking together brings family members closer.	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔	گڈے کھان پکاون خاندان دے ممبراں کوں نیڑے لیندے۔
Doctors recommend drinking plenty of water.	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔	ڈاکٹر گھنے پانی پیون دی صلاح دیندے نیں۔
Respecting elders is an important value.	بزرگاں دا احترام ہک اہم قدر اے۔	بزرگاں دا احترام ہک اہم قدر اے۔
Train journeys offer scenic views.	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔	ریل دے سفر منظراں دے نظارے پیش کریندے نیں۔
Doctors work long hours to treat patients.	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔	ڈاکٹر مریضاں دا علاج کرن کیتے لمبیاں گھڑیاں کم کریندے نیں۔
Storytelling preserves culture and knowledge.	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔	کہانی سناون ثقافت تے علم کوں محفوظ رکھیندے۔
Clear communication prevents misunderstandings.	صاف رابطہ غلط فہمیاں کوں روکیندے۔	صاف رابطہ غلط فہمیاں کوں روکیندے۔
Education opens doors to opportunities.	تعلیم موقعاں دے دروازے کولیندی اے۔	تعلیم موقعاں دے دروازے کولیندی اے۔
Farmers wake up early to tend to crops.	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
She cooked delicious biryani for the family.	اوں خاندان کیتے مزیدار بریانی پکائی۔	اوں خاندان کیتے مزیدار بریانی پکائی۔
Digital payments have made transactions faster.	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔	ڈیجیٹل ادائیگیاں معاملات تیز کیتے نیں۔
Tea is served to guests as a gesture of hospitality.	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔	مہماناں کوں مہمان نوازی دی نشانی دے طور تے چاہ پیش کیتی ویندی اے۔
Farmers wake up early to tend to crops.	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔	کسان فصلاں دی سنبھال کیتے جلدی اٹھدے نیں۔
The professor wrote equations on the blackboard.	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
The professor wrote equations on the blackboard.	پروفیسر تختے تے مساوات لکھیاں۔	پروفیسر تختے تے مساوات لکھیاں۔
The river flows peacefully through the valley.	دریا وادی وچ پرامن طریقے نال وہندی اے۔	دریا وادی وچ پرامن طریقے نال وہندی اے۔
Birds were chirping in the trees.	پنچھی رکھاں وچ چہچہا رہے ہن۔	پنچھی رکھاں وچ چہچہا رہے ہن۔
