source	reference	translation
The school organized a science fair.	اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
Spices add flavor to traditional dishes.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
Eating fresh fruits provides essential vitamins.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
Smartphones have changed how people communicate.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
Tea is served to guests as a gesture of hospitality.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.	ميهمانن کي ميهمان نوازي جي نشاني طور چانهه پيش ڪئي وڃي ٿي.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
Handicrafts showcase artistic traditions.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.	هٿيڪاريون فنڪاري روايتون ڏيکاريون ٿيون.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
Cricket is a popular sport.	ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
Reading books improves vocabulary.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.	ڪتابن پڙهڻ ذخيرو الفاظ بيهتر بڻائي ٿو.
We decided to visit the old temple.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
Learning a new language requires practice.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.	نئين ٻولي سکڻ لاءِ مشق جي ضرورت آهي.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
Sports teach teamwork and discipline.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.	راندون ٽيم ورڪ ۽ نظم وضبط سکائي ٿيون.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
People travel long distances to visit religious sites.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.	ماڻهو مذهبي ماڳن ڏسڻ لاءِ ڊگهيون فاصلا طي ڪندا آهن.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Storytelling preserves culture and knowledge.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.	ڪهاڻي ٻڌائڻ ثقافت ۽ علم کي محفوظ رکي ٿو.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Cricket is a popular sport.	ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
The forest is home to many wild animals.	جنگل گهڻن جنگلي جانورن جو گهر آهي.	جنگل گهڻن جنگلي جانورن جو گهر آهي.
The internet connects people across continents.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
We decided to visit the old temple.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
My grandmother told me stories.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
Online shopping has become popular.	آن لائن خريداري مقبول ٿي وئي آهي.	آن لائن خريداري مقبول ٿي وئي آهي.
Digital payments have made transactions faster.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.	ڊجيٽل ادائگي معاملات تيز ڪيا آهن.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
I woke up early this morning.	مان اڄ صبح جلدي اٿي ويسم.	مان اڄ صبح جلدي اٿي ويسم.
Tourism brings revenue to regions with historical sites.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.	سياحت تاريخي ماڳن وارن علائقن کي آمدني آڻي ٿي.
People celebrate festivals with great joy.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.	ماڻهو وڏي خوشيءَ سان ميلا منجن ٿا.
The market was crowded with people.	مارڪيٽ ماڻهن سان ڀريل هو.	مارڪيٽ ماڻهن سان ڀريل هو.
Eating fresh fruits provides essential vitamins.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
Spices add flavor to traditional dishes.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
Spices add flavor to traditional dishes.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.	مسالا رواجي کاڌن ۾ ذائقو وڌائي ٿو.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
Children learn best when they are interested.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.	ٻار بهترين سکندا آهن جڏهن اهي دلچسپي رکندا آهن.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
The teacher explained the lesson patiently.	استاد صبر سان سبق وضاحت ڪيو.	استاد صبر سان سبق وضاحت ڪيو.
Farmers wake up early to tend to crops.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.	کسان فصلن جي سنڀال لاءِ جلدي اٿندا آهن.
Online shopping has become popular.	آن لائن خريداري مقبول ٿي وئي آهي.	آن لائن خريداري مقبول ٿي وئي آهي.
Students gathered in the library.	شاگرد لائبريري ۾ گڏ ٿيا.	شاگرد لائبريري ۾ گڏ ٿيا.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
Education opens doors to opportunities.	تعليم موقعن جا دروازا کولي ٿي.	تعليم موقعن جا دروازا کولي ٿي.
Doctors work long hours to treat patients.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.	ڊاڪٽر مرضي کي علاج ڪرڻ لاءِ ڊگهيون گهڙيون ڪم ڪندا آهن.
The river flows peacefully through the valley.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.	درياهه وادي ۾ پرامن طريقي سان وهندي آهي.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
Traditional music is important for our heritage.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.	رواجي موسيقي اسان جي ورثي لاءِ اهم آهي.
The bus arrived late.	بس دير سان پهچي.	بس دير سان پهچي.
Birds were chirping in the trees.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.	پکي وڻن ۾ چيڪيون ڪري رهيا هئا.
Clear communication prevents misunderstandings.	صاف رابطو غلط فهمين کي روڪي ٿو.	صاف رابطو غلط فهمين کي روڪي ٿو.
Eating fresh fruits provides essential vitamins.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.	تازه ميوا کائڻ ضروري وٽامن فراهم ڪري ٿو.
After finishing his work, he sat down.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.
We decided to visit the old temple.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
Children were playing cricket in the street.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.	ٻار سڙڪ تي ڪرڪيٽ رهيا هئا.
Doctors recommend drinking plenty of water.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.	ڊاڪٽر گهڻو پاڻي پيئڻ جي صلاح ڏين ٿا.
My grandmother told me stories.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
The school organized a science fair.	اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
The professor wrote equations on the blackboard.	پروفيسر تختي تي مساوات لکيون.	پروفيسر تختي تي مساوات لکيون.
My grandmother told me stories.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.	منهنجي ناني مون کي ڪهاڻيون ٻڌايون.
Parents sacrifice their own needs for children.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.	والدين ٻارن لاءِ پنهنجيون ضرورتون قربان ڪن ٿا.
The school organized a science fair.	اسڪول سائنس ميلو منظم ڪيو.	اسڪول سائنس ميلو منظم ڪيو.
After finishing his work, he sat down.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.	پنهنجو ڪم مڪمل ڪرڻ کانپوءِ، هو بيٺو.
Farmers planted rice in the flooded fields.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.	کسان پاڻيءَ واري زمينن ۾ چانور پوکيا.
Cricket is a popular sport.	ڪرڪيٽ هڪ مقبول راند آهي.	ڪرڪيٽ هڪ مقبول راند آهي.
The wedding ceremony lasted three days.	شادي جي تقريب ٽن ڏينهن تائين هلي.	شادي جي تقريب ٽن ڏينهن تائين هلي.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
Elderly people share wisdom and stories.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.	وڏا ماڻهو حڪمت ۽ ڪهاڻيون حصيداري ڪن ٿا.
Online shopping has become popular.	آن لائن خريداري مقبول ٿي وئي آهي.	آن لائن خريداري مقبول ٿي وئي آهي.
We decided to visit the old temple.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.	اسان پراڻي مندر ڏسڻ جو فيصلو ڪيو.
Smartphones have changed how people communicate.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.	اسمارٽ فونن ماڻهن جي رابطي جي طريقي کي تبديل ڪيو آهي.
Cooking together brings family members closer.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.	گڏجي پاڻي خاندان جي ميمبرن کي ويجهو آڻي ٿو.
The internet connects people across continents.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.	انٽرنيٽ براعظمن ۾ ماڻهن کي ڳنڍي ٿو.
